SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
A B C PRESCHOOL,N/A,6311 SOUTH RURAL ROAD,TEMPE,Maricopa,85283,N/A,,94,78.7,-,N/A,86.2,-,N/A,89.4,-,N/A,88.3,-,N/A,61.7,-,N/A,84,-,N/A,89.4,-,N/A,1.1,0,N/A
A CHILD'S PLACE AT THE RANCHES L L C,N/A,3636 SOUTH ATHERTON BLVD,GILBERT,Maricopa,85297,N/A,,78,92.3,-,N/A,94.9,-,N/A,96.2,-,N/A,93.6,-,N/A,92.3,-,N/A,96.2,-,N/A,96.2,-,N/A,5.1,0,N/A
A KIDDIE'S KINGDOM,N/A,2318 NORTH 35TH AVENUE,PHOENIX,Maricopa,85009,N/A,,71,98.6,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,95.8,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
A S U CHILD DEVELOPMENT LAB,N/A,P O BOX 873701,TEMPE,Maricopa,85287,N/A,,46,100,-,N/A,97.8,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,95.7,-,N/A,100,-,N/A,6.5,0,N/A
A S U CHILD STUDY LAB - PSYCH DEPT ,N/A,P O BOX 871104,TEMPE,Maricopa,85287,N/A,,73,86.3,-,N/A,86.3,-,N/A,86.3,-,N/A,89,-,N/A,72.6,-,N/A,72.6,-,N/A,89,-,N/A,12.3,0,N/A
A STEP AHEAD PRESCHOOL & MONTESSORI,N/A,4221 EAST CHANDLER BOULEVARD #113,PHOENIX,Maricopa,85048,N/A,,48,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ABC Preschool - Kayenta Unified School District,N/A,P.O. Box 337,Kayenta,Navajo,86033,N/A,,81,97.5,-,N/A,98.8,-,N/A,97.5,-,N/A,93.8,-,N/A,90.1,-,N/A,98.8,-,N/A,96.3,-,N/A,1.2,0,N/A
ABOVE AND BEYOND PRESCHOOL,N/A,17475 WEST BELL ROAD,SURPRISE,Maricopa,85374,N/A,,100,95,-,N/A,96,-,N/A,97,-,N/A,95,-,N/A,92,-,N/A,96,-,N/A,96,-,N/A,4,1,N/A
ABUNDANT LOVE CHRISTIAN CHILD DEVELOPMENT CENTER,N/A,6849 WEST INDIAN SCHOOL ROAD,PHOENIX,Maricopa,85033,N/A,,34,94.1,-,N/A,97.1,-,N/A,97.1,-,N/A,100,-,N/A,76.5,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ACTIVE LEARNING CENTER,N/A,1456 EAST BROADWAY RD,MESA,Maricopa,85204,N/A,,26,61.5,-,N/A,73.1,-,N/A,76.9,-,N/A,65.4,-,N/A,53.8,-,N/A,65.4,-,N/A,73.1,-,N/A,15.4,0,N/A
ACTIVE LEARNING CENTER #6,N/A,704 EAST BUTLER DRIVE,PHOENIX,Maricopa,85020,N/A,,33,69.7,-,N/A,81.8,-,N/A,84.8,-,N/A,90.9,-,N/A,63.6,-,N/A,81.8,-,N/A,81.8,-,N/A,3,0,N/A
ADAMS TRADITIONAL BEGINNINGS,N/A,2323 PARKSIDE LANE,PHOENIX,Maricopa,85027,N/A,,196,95.4,-,N/A,96.9,-,N/A,97.4,-,N/A,94.9,-,N/A,95.4,-,N/A,96.9,-,N/A,97.4,-,N/A,4.6,2,N/A
ADOBE MONTESSORI SCHOOL,N/A,6400 WEST DEL RIO STREET,CHANDLER,Maricopa,85226,N/A,,97,96.9,-,N/A,96.9,-,N/A,96.9,-,N/A,96.9,-,N/A,94.8,-,N/A,94.8,-,N/A,96.9,-,N/A,2.1,1,N/A
ADVANCE U,N/A,449 EAST SOUTHERN AVENUE,PHOENIX,Maricopa,85040,N/A,,22,90.9,-,N/A,95.5,-,N/A,100,-,N/A,100,-,N/A,95.5,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ADVENTURES IN LEARNING,N/A,3821 NORTH THIRD STREET,PHOENIX,Maricopa,85012,N/A,,46,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AGUILA ELEMENTARY ,N/A,P O BOX 218,AGUILA,Maricopa,85320,N/A,,24,100,-,N/A,100,-,N/A,100,-,N/A,95.8,-,N/A,91.7,-,N/A,100,-,N/A,95.8,-,N/A,0,0,N/A
AHWATUKEE FOOTHILLS MONTESSORI CENTER,N/A,3221 EAST CHANDLER BLVD,PHOENIX,Maricopa,85048,N/A,,88,95.5,-,N/A,98.9,-,N/A,98.9,-,N/A,98.9,-,N/A,98.9,-,N/A,94.3,-,N/A,98.9,-,N/A,1.1,0,N/A
