SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
A.e. Butler,public,3843 W. Roosevelt ,Phoenix ,Maricopa,85009-,N/A,,140,99,0,-,99,0,-,98,0,-,96,0,-,99,.7,-,0,.7,N/A
A.j.mitchell,public,855 Bautista,Nogales,Santa Cruz,85621-,N/A,,71,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Abraham Lincoln,charter,10444 N 39th Ave,Phoenix,Maricopa,85051-,N/A,,86,92,8.1,-,92,8.1,-,92,8.1,-,98,2.3,-,95,4.7,-,9.3,0,N/A
Acacia,public,3021 W. Evans Drive,Phoenix,Maricopa,85053-5748,N/A,,138,94,5.8,-,95,5.1,-,93,5.8,-,96,4.3,-,100,0,-,5.8,0,N/A
Acacia,charter,12955 E Colossal Cave Rd.,Vail ,Pima,85641-,N/A,,107,95,3.7,-,96,3.7,-,96,3.7,-,97,2.8,-,99,.9,-,3.74,0,N/A
Academy Adventures Midtown,charter,3025 North Winstel,Tucson,Pima,85716-,N/A,,27,96,3.7,-,93,7.4,-,93,7.4,-,93,7.4,-,93,7.4,-,7.41,0,N/A
Academy Adventures Primary School,charter,3902 N. Flowing Wells Rd.,Tucson,Pima,85705-,N/A,,21,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Academy Of Math & Science,charter,3335 W. Flower St,Phoenix,Maricopa,85017-,N/A,,25,96,4,-,96,4,-,88,8,-,92,4,-,88,8,-,8,0,N/A
Academy Of Math And Science,charter,1557 W Prince Rd.,Tucson,Pima,85705-,N/A,,56,98,1.8,-,98,1.8,-,98,1.8,-,98,1.8,-,98,1.8,-,1.79,0,N/A
Academy Of Tucson Elementary,charter,9209 E. Wrightstown Rd.,Tucson,Pima,85715-,N/A,,58,91,8.6,-,93,6.9,-,91,8.6,-,93,6.9,-,91,8.6,-,8.62,0,N/A
Accelerated Elementary And Secondary Schools,charter,5245 N. Camino De Oeste,Tucson,Pima,85745-,N/A,,25,96,4,-,96,4,-,96,4,-,96,4,-,96,4,-,4,0,N/A
Acclaim Academy,charter,7624 W. Indian School Rd.,Phoenix,Maricopa,85033-,N/A,,49,92,0,-,90,0,-,90,0,-,100,0,-,84,0,-,0,0,N/A
Acorn Montessori Charter,charter,8556 E. Loos Dr.,Prescott Valley,Yavapai,86314-,N/A,,71,93,7,-,93,7,-,93,7,-,93,7,-,93,7,-,7.04,0,N/A
Adams Elementary School,public,738 S Longmore Rd,Mesa,Maricopa,85202-,N/A,,144,98,.7,-,99,.7,-,99,.7,-,100,0,-,100,0,-,.69,1.4,N/A
Adams Traditional Academy,charter,2323 W. Parkside ,Phoenix,Maricopa,85027-,N/A,,141,89,10.6,-,89,10.6,-,89,10.6,-,89,10.6,-,89,10.6,-,10.64,0,N/A
Advance U ,charter,449 E Southern Ave ,Phoenix ,Maricopa,85040-,N/A,,48,92,6.3,-,92,6.3,-,75,6.3,-,81,6.3,-,90,6.3,-,6.25,0,N/A
Adventure School,charter,5757 E. Pima St.,Tucson,Pima,85712-,N/A,,27,93,7.4,-,96,3.7,-,93,7.4,-,96,3.7,-,89,11.1,-,14.81,0,N/A
Agua Caliente Elementary School,public,11420 E Limberlost,Tucson,Pima,85749-,N/A,,66,98,1.5,-,98,1.5,-,100,0,-,100,0,-,100,0,-,1.52,0,N/A
Aguilar School,public,5800 S. Forest Ave,Tempe,Maricopa,85283-,N/A,,91,92,7.7,-,93,6.6,-,95,5.5,-,96,4.4,-,99,0,-,3.3,0,N/A
Aire Libre Elementary School,public,16428 N 21st Street,Phoenix,Maricopa,85022-5405,N/A,,41,93,7.3,-,93,7.3,-,93,7.3,-,95,4.9,-,95,4.9,-,7.32,0,N/A
