SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Abraham Lincoln,charter,10444 N 39th Ave,Phoenix,Maricopa,85051-,n,n/a,62,95.2,4.8,100,95.2,4.8,100,95.2,4.8,100,96.8,3.2,100,96.8,3.2,100,96.8,3.2,100,100,0,100,6.5,0,N/A
Acacia Elementary School,public,3021 W. Evans Dr.,Phoenix,Maricopa,85053-5748,n, ,96,100,0,100,97.9,0,100,97.9,1,100,100,0,100,99,1,100,100,0,100,100,0,100,1,0,N/A
Academia del Pueblo,charter,113 W. Sherman St,Phoenix,Maricopa,85003,n,n/a,32,90.6,3.1,94,12.5,3.1,19,12.5,3.1,16,90.6,3.1,94,93.8,3.1,97,84.4,3.1,87,96.9,3.1,100,0,3.1,N/A
Academy Of Math And Science,charter,1557 W Prince Rd.,Tucson,Pima,85705-,n,n/a,36,100,0,100,91.7,5.6,100,91.7,5.6,100,100,0,100,100,0,100,100,0,100,100,0,100,5.6,0,N/A
Academy Of Math And Science - Phoenix,charter,3335 W. Flower St,Phoenix,Maricopa,85017-,n, ,37,94.6,5.4,100,94.6,5.4,100,94.6,5.4,100,94.6,5.4,100,94.6,5.4,100,94.6,5.4,100,94.6,5.4,100,5.4,0,N/A
Academy Of Tucson Middle School,charter,7310 E 22nd St,Tucson,Pima,857106427,n,n/a,70,98.6,1.4,100,85.7,11.4,100,85.7,11.4,100,98.6,1.4,100,98.6,1.4,100,97.1,2.9,100,98.6,1.4,100,14.3,0,N/A
Accelerated Learning Laboratory,charter,5245 N. Camino De Oeste,Tucson,Pima,85745-,n, ,21,95.2,4.8,100,81,14.3,100,81,14.3,100,95.2,4.8,100,95.2,4.8,100,95.2,4.8,100,95.2,4.8,100,14.3,0,N/A
Acclaim Academy,charter,7624 W. Indian School Rd,Phoenix,Maricopa,85033-,n, ,44,95.5,0,95,43.2,0,43,38.6,0,39,75,0,75,84.1,0,84,95.5,0,95,90.9,0,91,0,0,N/A
Acorn Montessori Charter School,charter,8556 E. Loos Dr,Prescott Valley,Yavapai,86314-,n, ,40,92.5,7.5,100,87.5,12.5,100,85,15,100,97.5,2.5,100,92.5,7.5,100,92.5,7.5,100,90,10,100,15,0,N/A
Adam's Traditional Academ,charter,2323 W. Parkside Lane,Phoenix,Maricopa,85027-,n, ,60,95,5,100,86.7,8.3,100,91.7,8.3,100,95,5,100,95,5,100,91.7,8.3,100,95,5,100,5,3.3,N/A
Adams Elementary School,public,738 S Longmore,Mesa,Maricopa,85202-,y,rn,110,99.1,.9,100,96.4,3.6,100,96.4,3.6,100,99.1,.9,100,99.1,.9,100,99.1,.9,100,100,0,100,2.7,0,N/A
Agua Caliente Elementary School,public,11420 E Limberlost,Tucson,Pima,85749-,y,rn,81,98.8,1.2,100,96.3,2.5,100,96.3,2.5,100,98.8,1.2,100,98.8,1.2,100,98.8,1.2,100,100,0,100,2.5,0,N/A
Aire Libre Elementary School,public,16428 N 21st Street,Phoenix,Maricopa,85022-5405,y,rn,55,96.4,3.6,100,96.4,3.6,100,96.4,3.6,100,96.4,3.6,100,96.4,3.6,100,98.2,1.8,100,98.2,1.8,100,1.8,0,N/A
Ajo Elementary School,public,111 Well Rd,Ajo,Pima,85321-,y,lpn,31,100,0,100,87.1,0,100,67.7,0,97,90.3,9.7,100,96.8,0,97,100,0,100,87.1,0,87,9.7,0,N/A
Ala San Tan,charter,34696 N. Village Lane,San Tan Valley,Pinal,85142-____,n, ,82,90.2,9.8,100,72,20.7,98,72,20.7,98,91.5,8.5,100,91.5,8.5,100,89,11,100,91.5,8.5,100,24.4,0,N/A
Alfred F Garcia School,public,1441 S. 27th Ave,Phoenix,Maricopa,85009-,y,lpn,61,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Alhambra Traditional,public,3736 W Osborn Rd,Phoenix,Maricopa,85019-,n, ,88,98.9,1.1,100,93.2,4.5,100,92,4.5,99,98.9,1.1,100,98.9,1.1,100,98.9,1.1,100,100,0,100,4.5,0,N/A
Alice Vail Middle School,public,5350 E 16th St,Tucson,Pima,85711-,n, ,195,100,0,100,98.5,1,100,98.5,1,99,100,0,100,99.5,.5,100,100,0,100,100,0,100,1,.5,N/A
All Saints' Episcopal Day School,private,6300 North Central Avenue,Phoenix,Maricopa,85012-,y,rn,61,100,0,100,100,0,100,98.4,0,100,100,0,100,95.1,3.3,98,100,0,100,100,0,100,3.3,0,N/A
Alta Loma Elementary School,public,9750 N. 87th Ave.,Peoria,Maricopa,85345-,y,rn,87,96.6,2.3,99,79.3,2.3,82,78.2,2.3,80,95.4,2.3,98,95.4,2.3,98,95.4,2.3,98,96.6,2.3,99,2.3,0,N/A
Alta Vista Elementary,public,8710 N. 31st Avenue,Phoenix,Maricopa,85051-,y,rn,73,98.6,0,99,100,0,100,100,0,100,98.6,0,99,100,0,100,98.6,0,99,100,0,100,0,0,N/A
Altar Valley Middle School,public,Hcr 1 Box 130,Tucson,Pima,85736-,y,rn,73,98.6,0,99,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Amberlea Elementary,public,8544 W. Virginia Ave.,Phoenix,Maricopa,85037-,n,n/a,84,98.8,1.2,100,92.9,1.2,100,96.4,1.2,100,98.8,1.2,100,98.8,1.2,100,98.8,1.2,100,98.8,1.2,100,1.2,0,N/A
American Heritage Academy - Camp Verde,charter,132 General Crook Tr,Camp Verde,Yavapai,86322-,n, ,22,90.9,9.1,100,54.5,40.9,100,54.5,40.9,100,90.9,9.1,100,86.4,13.6,100,86.4,13.6,100,90.9,9.1,100,4.5,36.4,N/A
American Leadership Academy - Gilbert,charter,3155 S. San Tan Village ,Gilbert,Maricopa,85295-0857,n, ,62,87.1,12.9,100,59.7,25.8,97,66.1,27.4,97,88.7,11.3,100,83.9,14.5,98,83.9,16.1,100,82.3,16.1,98,40.3,1.6,N/A
American Leadership Academy - Queen Creek,charter,19843 E Chandler Heights Rd,Queen Creek,Maricopa,85142-,n,n/a,114,93,7,100,85.1,7,100,87.7,8.8,100,91.2,8.8,100,90.4,9.6,100,92.1,7.9,100,93.9,6.1,100,18.4,0,N/A
American Leadership Academy Mesa,charter,4507 S. Mountain Rd.,Mesa,Maricopa,85212-,n, ,57,86,10.5,96,73.7,14,95,75.4,19.3,95,87.7,10.5,98,86,10.5,96,89.5,10.5,100,89.5,10.5,100,19.3,1.8,N/A
American Leadership Academy- Anthem South Campus,charter,4380 N Hunt Hwy,Florence ,Pinal,85132-,n, ,31,93.5,6.5,100,51.6,9.7,100,64.5,32.3,100,93.5,6.5,100,93.5,6.5,100,100,0,100,93.5,6.5,100,25.8,6.5,N/A
Amerischools Academy North,charter,1220 S. 4th Avenue,Yuma,Yuma,85364-,n,n/a,25,100,0,100,80,16,96,84,12,96,100,0,100,96,0,96,100,0,100,100,0,100,16,0,N/A
Amerischools Academy Tucson,charter,1150 N. Country Club,Tucson,Pima,85716-,n, ,26,100,0,100,96.2,0,96,96.2,0,96,96.2,0,96,100,0,100,100,0,100,100,0,100,0,0,N/A
Amphitheater Middle School,public,315 E. Prince Rd,Tucson,Pima,85705-,y,rn,227,97.8,.4,98,96.5,.9,100,96,1.3,100,97.4,.9,98,99.6,.4,100,97.8,.4,98,99.6,.4,100,.9,.4,N/A
Andalucia Middle School,public,4730 W. Campbell Ave,Phoenix,Maricopa,85031-,n, ,220,99.5,0,100,98.6,0,100,98.6,0,100,99.1,0,99,100,0,100,100,0,100,100,0,100,0,0,N/A
Andersen Junior High,public,1255 N. Dobson Rd,Chandler,Maricopa,85224-,n, ,141,97.2,2.8,100,95,2.8,100,95,2.8,100,97.2,2.8,100,97.2,2.8,100,97.2,2.8,100,95.7,2.8,99,2.8,0,N/A
Anna Lawrence Intermediate School,public,4850 W. Jeffrey Rd,Tucson,Pima,85757-,y,rn,55,100,0,100,94.5,1.8,98,96.4,1.8,98,100,0,100,98.2,1.8,100,100,0,100,100,0,100,1.8,0,N/A
Anna Marie Jacobson Elementary School,public,1515 Nw Jacaranda Pkwy,Chandler,Maricopa,85248-,n,n/a,130,98.5,1.5,100,92.3,4.6,100,92.3,4.6,100,98.5,1.5,100,98.5,1.5,100,98.5,1.5,100,97.7,2.3,100,2.3,1.5,N/A
Annunciation Catholic School,private,32648 N Cave Creek Road,Cave Creek,Maricopa,85331-,y,rn,22,100,0,100,95.5,0,100,95.5,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Anthem K-8,public,2700 N. Anthem Way,Florence,Pinal,85132-,n, ,94,98.9,0,99,91.5,2.1,96,93.6,1.1,96,98.9,0,99,98.9,0,99,98.9,0,99,100,0,100,2.1,0,N/A
Anthem Preparatory Academy,charter,39808 N Gavilan Peak Parkway,Anthem,Maricopa,85086-,n, ,77,96.1,2.6,99,89.6,3.9,96,89.6,5.2,96,94.8,3.9,99,93.5,3.9,97,96.1,2.6,99,97.4,2.6,100,5.2,0,N/A
Anthem School,public,41020 N. E Freedom Way,Anthem,Maricopa,85086-,y,lpn,95,96.8,3.2,100,89.5,9.5,100,90.5,9.5,100,91.6,8.4,100,93.7,6.3,100,96.8,3.2,100,96.8,3.2,100,10.5,1.1,N/A
Anza Trail School,public,15490 S. Rancho Sahuarita Blvd,Sahuarita,Pima,85629-9000,y,rn,197,98.5,1,99,86.8,1,100,86.8,1.5,88,98,1,99,98,1,99,97.5,1,98,98,2,100,1,0,N/A
Apache,public,8633 W. John Cabot Rd.,Peoria,Maricopa,85382-,y,rn,89,41.6,58.4,100,41.6,0,100,41.6,0,100,100,0,100,100,0,100,100,0,100,100,0,100,1.1,2.2,N/A
Apollo Middle School,public,265 W Nebraska ,Tucson,Pima,85706-,n,n/a,187,99.5,.5,100,97.9,.5,98,97.9,.5,98,99.5,.5,100,99.5,.5,100,100,0,100,100,0,100,.5,.5,N/A
Aprende Middle School,public,777 N Desert Breeze Bl E #2,Chandler,Maricopa,85226-,n,n/a,330,99.1,.9,100,90.6,5.5,98,92.4,5.5,100,98.8,1.2,100,98.8,1.2,100,99.1,.9,100,98.8,1.2,100,6.7,0,N/A
Arcadia Neighborhood Learning Center,public,4330 North 62nd Street,Scottsdale,Maricopa,85251-,y,rn,62,90.3,9.7,100,69.4,4.8,76,67.7,6.5,76,90.3,9.7,100,90.3,9.7,100,90.3,9.7,100,90.3,9.7,100,9.7,0,N/A
Arete Preparatory Academy,charter,4525 E. Baseline Rd.,Gilbert,Maricopa,85234-,y,rn,97,91.8,8.2,100,86.6,13.4,100,83.5,16.5,100,91.8,8.2,100,90.7,9.3,100,90.7,9.3,100,92.8,7.2,100,19.6,0,N/A
Arizona Charter Academy,charter,16011 N. Dysart Road,Surprise,Maricopa,85374-,n, ,55,100,0,100,89.1,0,89,89.1,0,89,98.2,0,98,98.2,0,98,100,0,100,98.2,0,98,3.6,0,N/A
Arizona College Prep Oakland Campus,public,191 West Oakland Street,Chandler,Maricopa,85225-,n, ,123,100,0,100,95.1,3.3,100,95.1,4.1,100,100,0,100,100,0,100,100,0,100,97.6,2.4,100,4.1,0,N/A
Arizona Connections Academy,charter,335 E. Germann Rd.  Suite 140,Gilbert,Maricopa,85297-,n,n/a,184,85.9,14.1,100,63,25.5,91,62,26.1,91,85.3,14.7,100,85.3,14.1,99,85.3,14.7,100,85.3,14.7,100,24.5,1.6,N/A
Arizona Conservatory For Arts & Academics,charter,2820 W Kelton Lane,Phoenix,Maricopa,85053-,n,n/a,81,88.9,7.4,96,79,12.3,94,79,12.3,93,88.9,7.4,96,88.9,7.4,96,88.9,6.2,95,90.1,6.2,96,12.3,0,N/A
Arizona Cultural Academy & College Prep,private,7810 S 42nd Place,Phoenix,Maricopa,85042-,n, ,21,95.2,4.8,100,90.5,4.8,95,85.7,4.8,90,95.2,4.8,100,90.5,4.8,95,95.2,4.8,100,90.5,4.8,95,4.8,0,N/A
Arizona Desert Elementary School,public,8803 W Van Buren St,Tolleson,Maricopa,85353-,n, ,55,100,0,100,92.7,1.8,96,92.7,1.8,96,96.4,0,96,100,0,100,92.7,0,93,100,0,100,1.8,0,N/A
Arizona School For The Arts,charter,1410 N 3rd St,Phoenix,Maricopa,85004-,n, ,111,91.9,6.3,98,30.6,5.4,37,31.5,6.3,38,84.7,7.2,92,85.6,7.2,93,86.5,7.2,94,88.3,9,97,9.9,.9,N/A
Arlington Elementary,public,P.o. Box 39,Arlington,Maricopa,85322-,n,n/a,32,90.6,9.4,100,87.5,9.4,100,81.3,15.6,100,90.6,9.4,100,93.8,6.3,100,90.6,9.4,100,84.4,15.6,100,15.6,0,N/A
Arozona Desert Elementary School,public,P.o. Box 6870,San Luis,Yuma,85349-,y,lpn,120,100,0,100,96.7,0,100,96.7,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Arrowhead Elementary School - Gilbert,public,7490 W. Union Hills,Glendale,Maricopa,85308-,n,n/a,75,96,1.3,97,89.3,9.3,100,89.3,9.3,100,97.3,2.7,100,97.3,2.7,100,97.3,1.3,99,98.7,1.3,100,9.3,1.3,N/A
Arrowhead Elementary School - Phoenix,public,3820 E. Nisbet Rd.,Phoenix,Maricopa,85032-,y,rn,55,98.2,1.8,100,76.4,1.8,80,78.2,1.8,80,98.2,1.8,100,96.4,1.8,98,98.2,1.8,100,98.2,1.8,100,1.8,0,N/A
Arroyo School,public,4535 W Cholla,Glendale,Maricopa,85304-,n, ,84,94,2.4,96,95.2,2.4,100,98.8,1.2,100,97.6,2.4,100,98.8,1.2,100,98.8,1.2,100,100,0,100,2.4,0,N/A
Arthur M. Hamilton,public,2020 W. Durango Street,Phoenix,Maricopa,85009-,n,n/a,30,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Arts Academy @ Estrella Mountain,charter,2504 S. 91st Ave,Tolleson,Maricopa,85353-,n, ,120,99.2,0,99,81.7,0,84,80.8,0,83,98.3,0,98,99.2,0,99,99.2,0,99,97.5,0,98,0,0,N/A
Ashland Ranch Elementary,public,1945 South Ashland Ranch Road,Gilbert,Maricopa,85295-,n,n/a,118,98.3,1.7,100,94.9,3.4,100,94.9,4.2,100,98.3,1.7,100,96.6,3.4,100,98.3,1.7,100,96.6,3.4,100,5.1,.8,N/A
Ashton Ranch ,public,14898 West Acoma Drive,Surprise,Maricopa,85379-,y,lpn,124,96.8,3.2,100,86.3,6.5,99,89.5,6.5,98,96,3.2,99,96.8,3.2,100,96,3.2,99,95.2,3.2,98,3.2,0,N/A
Asu Preparatory Academy,charter,735 East Filmore St,Phoenix,Maricopa,85006-,y,rn,90,98.9,1.1,100,97.8,1.1,100,97.8,1.1,100,98.9,1.1,100,98.9,1.1,100,100,0,100,98.9,1.1,100,1.1,0,N/A
Asu Preparatory Academy Polytechnic Elementary,charter,6950 E. Williams Field Rd.,Mesa,Maricopa,85212-,n,n/a,75,92,8,100,92,8,100,92,8,100,92,8,100,92,8,100,92,8,100,93.3,6.7,100,6.7,1.3,N/A
Atkinson Middle School,public,4315 N Maryvale Parkway,Phoenix,Maricopa,85031-,y,lpn,466,99.6,0,100,85.2,0,87,83.9,0,84,99.8,0,100,99.6,0,100,99.6,0,100,99.8,0,100,0,0,N/A
Audrey & Robert Ryan Elementary,public,4600 S Bright Angel Way,Chandler,Maricopa,85249-,n, ,130,97.7,2.3,100,91.5,4.6,100,92.3,4.6,100,97.7,2.3,100,95.4,4.6,100,96.9,3.1,100,97.7,2.3,100,7.7,0,N/A
Augusta Ranch Elementary,public,9430 East Neville Avenue,Mesa,Maricopa,85209-,y,rn,166,98.2,1.8,100,95.2,1.2,100,95.8,1.2,100,98.8,1.2,100,99.4,.6,100,98.8,1.2,100,98.8,1.2,100,2.4,0,N/A
Augustus H Shaw Jr School,public,123 North 13th St,Phoenix,Maricopa,85034-,y,lpn,35,100,0,100,97.1,2.9,100,97.1,2.9,100,100,0,100,100,0,100,100,0,100,100,0,100,2.9,0,N/A
Avalon Elementary,charter,1045 S. San Marcos,Apache Junction,Pinal,85120-,n, ,30,96.7,3.3,100,53.3,43.3,100,53.3,46.7,100,96.7,3.3,100,93.3,6.7,100,96.7,3.3,100,96.7,0,97,3.3,3.3,N/A
Avondale Middle School,public,1406 N. Central Ave,Avondale,Maricopa,85323-,y,rn,100,97,1,98,96,0,99,93,0,96,98,0,98,97,0,97,98,0,98,98,0,98,0,1,N/A
Baboquivari Middle School,public,P.O. Box 248,Sells,Pima,85634,n,n/a,76,100,0,100,93.4,0,93,93.4,0,93,100,0,100,100,0,100,100,0,100,98.7,1.3,100,1.3,0,N/A
Bagdad Elementary School,public,515 Breezy Circle,Bagdad,Yavapai,86323-,n, ,37,97.3,2.7,100,94.6,2.7,97,94.6,2.7,97,97.3,2.7,100,94.6,2.7,97,97.3,2.7,100,97.3,2.7,100,2.7,0,N/A
Bales Elementary School,public,25400 W. Maricopa Rd,Buckeye,Maricopa,85326-,n, ,87,95.4,4.6,100,94.3,5.7,100,94.3,5.7,100,95.4,4.6,100,95.4,4.6,100,95.4,4.6,100,95.4,4.6,100,5.7,0,N/A
Balsz Elementry School,public,4309 E. Belleview,Phoenix,Maricopa,85008-,y,rn,70,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Barcelona Middle School,public,6530 N. 44th Ave,Glendale,Maricopa,85301-,n, ,114,100,0,100,99.1,0,99,99.1,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Basha Elementary ,public,3535 S. Basha Road,Chandler ,Maricopa,85248-,n, ,107,98.1,1.9,100,88.8,7.5,100,90.7,8.4,100,98.1,1.9,100,98.1,1.9,100,99.1,.9,100,99.1,.9,100,8.4,0,N/A
Basis Ahwatukee,charter,10210 S. 50th Place,Phoenix,Maricopa,85044-,n, ,145,100,0,100,89,8.3,100,88.3,9,100,100,0,100,99.3,.7,100,100,0,100,100,0,100,9,.7,N/A
Basis Chandler,charter,1800 E Chandler Blvd,Chandler,Maricopa,85225-,n,n/a,120,97.5,2.5,100,74.2,15.8,100,74.2,15.8,100,95.8,4.2,100,96.7,3.3,100,97.5,2.5,100,97.5,2.5,100,15.8,0,N/A
Basis Flagstaff,charter,1700 N. Gemini Dr.,Flagstaff,Coconino,86001-,n, ,113,95.6,4.4,100,85.8,13.3,100,85.8,13.3,100,95.6,4.4,100,95.6,4.4,100,95.6,4.4,100,95.6,4.4,100,4.4,0,N/A
Basis Mesa,charter,5010 S. Eastmark Parkway,Mesa,Maricopa,85212-,n, ,121,98.3,1.7,100,86.8,9.9,100,86.8,9.9,100,96.7,3.3,100,96.7,3.3,100,95.9,4.1,100,98.3,1.7,100,12.4,0,N/A
Basis Oro Valley,charter,11155 N Oracle Raod,Oro Valley,Pima,85737-,n, ,123,99.2,.8,100,89.4,7.3,100,84.6,12.2,100,99.2,.8,100,99.2,.8,100,96.7,3.3,100,99.2,.8,100,10.6,3.3,N/A
Basis Peoria,charter,25950 North Lake Pleasant Pkwy,Peoria,Maricopa,85383-,n, ,151,97.4,2.6,100,76.2,19.9,100,77.5,19.9,100,97.4,2.6,100,96,4,100,93.4,6.6,100,96.7,3.3,100,21.2,.7,N/A
Basis Phoenix,charter,11850 North 32nd Street,Phoenix,Maricopa,85028-,n, ,147,98,2,100,79.6,15.6,100,80.3,15,100,94.6,5.4,100,93.9,6.1,100,94.6,5.4,100,97.3,2.7,100,21.8,0,N/A
Basis Phoenix Central,charter,201 E. Indianola Ave,Phoenix,Maricopa,85012-,n, ,36,91.7,8.3,100,91.7,5.6,100,91.7,5.6,100,94.4,5.6,100,94.4,5.6,100,94.4,5.6,100,94.4,5.6,100,8.3,0,N/A
Basis Prescott,charter,1901 Prescott Lakes Parkway,Prescott,Yavapai,86301-,n, ,100,92,8,100,71,29,100,73,27,100,92,8,100,92,8,100,92,8,100,93,7,100,29,0,N/A
Basis Scottsdale,charter,11440 N 136th Street,Scottsdale,Maricopa,85259-,n, ,144,98.6,1.4,100,92.4,2.1,100,90.3,4.2,100,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,7.6,0,N/A
Basis Tucson,charter,3825 E Second Street,Tucson,Pima,85716-,n, ,106,97.2,2.8,100,93.4,4.7,100,93.4,4.7,100,97.2,2.8,100,97.2,2.8,100,97.2,2.8,100,97.2,2.8,100,4.7,0,N/A
Basis Tucson North,charter,6740 E. River Rd,Tucson,Pima,85750-,n,n/a,154,99.4,.6,100,96.1,2.6,100,92.9,5.8,100,99.4,.6,100,98.7,1.3,100,98.7,1.3,100,99.4,.6,100,2.6,3.9,N/A
Beaver Creek School,public,4810 East Beaver Creek Road,Rimrock,Yavapai,86335-,n, ,31,100,0,100,83.9,0,84,83.9,0,84,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Beaver Dam Elementary School,public,P O Box 730,Beaver Dam,Mohave,86432-,n, ,23,100,0,100,21.7,0,26,21.7,0,22,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Bella Vista Elementary School,public,801 N. Lenzner,Sierra Vista,Cochise,85635-,y,rn,62,98.4,1.6,100,91.9,1.6,98,91.9,1.6,98,100,0,100,98.4,1.6,100,100,0,100,100,0,100,1.6,0,N/A
Bellair Elementary,public,4701 W Grovers,Glendale,Maricopa,85308-,y,lpn,89,92.1,0,92,70.8,1.1,73,69.7,1.1,72,94.4,0,94,93.3,0,93,92.1,0,92,95.5,0,96,2.2,0,N/A
