Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
85003,33013,4597,33244,4474,36390,6045,42661,7409,41038,6632,45615,6225
85004,25572,5049,25552,4997,26008,5960,29567,8372,30202,10995,34595,6008
85006,20856,1529,21006,1250,22957,2579,24983,2243,26317,1931,29903,2840
85007,33770,5879,30618,4395,28125,4024,27200,4054,28380,3357,27557,2852
85008,32412,2176,32003,1425,32109,1505,34581,1973,33481,1972,34677,1485
85009,26268,1501,24587,1854,22725,1196,22137,906,21719,1024,23302,1577
85012,52197,9075,51637,6965,49226,6995,53333,7883,58108,7945,55542,9236
85013,42936,2691,45707,2999,43576,3259,46920,3144,50247,4885,50182,3535
85014,43331,4502,42003,2495,41903,2210,42162,1736,43369,1870,43682,1900
85015,33241,1741,31858,1595,30753,1456,29838,2046,29729,2020,30661,2055
85016,42830,2711,42935,2991,46233,2775,46399,3404,48864,3648,51245,1727
85017,29842,2444,29458,2074,27782,2273,28385,1971,28533,1669,27864,1770
85018,52764,3073,52322,4236,52389,3116,54028,3213,54176,3922,56653,3886
85019,36806,2547,34909,3269,32043,2632,29335,4319,25057,4217,30202,2714
85020,47112,3373,49925,2997,46037,3893,43927,2786,46596,2832,48257,3852
85021,39556,1848,39633,2333,38130,2416,37445,2445,36190,2132,37595,1987
85022,50147,2767,48905,2496,45606,2092,46529,2142,46475,2126,48600,2628
85023,49146,2741,48076,3102,47200,3697,47646,3072,48935,2971,51483,3650
85024,65722,4378,61548,4183,64776,5036,63864,4350,64982,3700,68557,4664
85027,51643,1928,51198,1584,51919,1870,52137,2083,51332,1718,50427,2779
85028,82475,4960,82375,4863,85058,5919,89030,7942,89010,8606,90381,9166
85029,46611,2874,45026,2681,42937,2435,42137,3695,41385,3227,42224,2185
85031,31382,1842,27474,4468,26187,1707,23054,3581,21422,1372,23832,3570
85032,50012,2052,48345,1736,48461,1885,47691,1673,48036,1443,48608,2500
85033,35497,1649,33742,2309,33821,1766,32935,1805,33662,1625,35571,1466
85034,14547,3150,17815,3680,19509,2357,21052,2230,21488,2668,24046,3105
85035,35778,2415,32963,1639,31645,1501,31065,1706,31803,1539,34636,2399
85037,50882,2329,49159,3307,47695,2561,47869,2930,48335,2801,50224,2769
85040,30709,2358,30945,2264,30841,2259,30664,2636,31894,2958,32133,2176
85041,43320,2342,42865,1856,42204,2063,41438,1820,42830,2127,47199,3235
85042,47813,2571,48182,3423,46962,2751,45420,3027,45127,3032,46676,3665
85043,48635,5367,42422,4180,40584,2888,40636,2333,41744,2463,43895,1772
85044,67052,5081,67938,4348,66416,3051,67154,2935,70217,2922,70860,2634
85045,117069,9443,110870,8986,115756,9229,109500,14479,120313,17150,120804,13553
85048,92895,5796,91490,4298,93878,4936,95628,4845,96041,4530,98382,3857
85050,72384,6192,76951,5503,78087,3831,80233,4832,78673,4882,82529,4052
85051,40910,2911,38913,2710,38415,2625,38389,2123,38098,1782,38864,2210
85053,50098,3260,47207,3027,48280,4137,44039,2199,44886,2261,47387,3251
85054,66179,5806,65000,7827,67488,9216,75093,7501,76558,7147,76413,12878
85083,106335,4548,107646,4441,105101,8817,101453,9054,97031,7529,101932,8866
85085,89323,5437,80962,12058,83377,8772,80342,5210,81250,4083,81031,4956
85086,84327,6417,78574,6173,76856,5867,80477,5509,83135,7593,82746,6381
85087,78063,15252,79444,12952,74805,6787,74275,5630,71451,6144,70525,8743
85118,60192,5789,61011,4202,62965,6425,63492,6283,62715,7908,64138,6412
85119,48542,3806,46369,2350,46589,3087,44200,5426,40625,3594,45762,3227
85120,35535,3204,34033,2531,34077,2239,34808,2235,35322,2245,37271,1776
85121,33023,8184,29565,12319,38670,6424,32891,11829,27500,9216,13153,3141
85122,44498,1828,44838,1802,44910,1548,44150,1912,44364,2135,45818,2298
85123,41399,8371,42778,7855,43996,8109,45231,5938,42651,4333,42347,5129
85128,43267,4381,43072,3302,42035,3357,40820,6568,40334,4131,38202,4431
85131,32685,8171,31006,4294,28893,3776,28130,3492,31634,2306,31518,2930
85132,46179,4742,47688,3820,48135,4124,48625,3449,48176,4487,50385,4060
85135,27411,12767,29688,23128,39792,13932,39531,4543,37386,9082,36016,10816
85137,48889,9219,44397,11801,47569,14091,44762,13864,44583,18610,56607,9022
85138,64976,4916,63184,4380,66333,3217,65290,3143,67055,4057,69732,2973
85139,55580,3383,58373,2313,52870,5244,56168,4739,54711,6062,55316,3690
85140,59601,4416,55392,2793,54616,4365,57585,4061,59556,5256,62368,3529
85141,25000,13965,29886,6467,29063,4024,31875,10821,31250,12722,38750,20587
85142,72520,4382,74631,5616,73367,4542,71927,4319,72007,3823,76384,3765
85143,62591,3241,61922,4812,57969,4398,59830,6208,58595,3786,59390,4962
85145,58750,14884,55667,6778,57109,8275,55962,6271,57321,7520,49688,14485
85147,27721,8061,28702,7659,27163,7092,22000,11176,24896,10879,17091,13245
85172,13140,29838,35727,46222,32963,33495,35467,19006,34708,18220,37694,4310
85173,39824,7937,39222,5537,38203,7450,43750,5012,40273,6341,39583,7802
85192,31548,10797,35000,12736,31645,16857,52604,14599,52528,5458,44911,12189
85193,54722,12724,43750,13194,47888,10906,49777,14249,40966,4019,33565,9669
85194,52561,13728,54653,14859,46250,10735,47190,7873,46394,5863,47278,4467
85201,37001,1733,34852,2018,34589,1877,34532,2424,35379,1620,35799,1464
